0,fantom,Programming Language
1,euphoria,Programming Language
2,ec,Programming Language
3,sql,Programming Language
4,dylan,Programming Language
5,beatnik,Programming Language
6,elan,Programming Language
7,focal,Programming Language
8,s3,Programming Language
9,unicon,Programming Language
10,rust,Programming Language
11,source,Programming Language
12,zpl,Programming Language
13,f*,Programming Language
14,apl,Programming Language
15,elm,Programming Language
16,lfe,Programming Language
17,css,Programming Language
18,harbour,Programming Language
19,forth,Programming Language
20,clu,Programming Language
21,matlab,Programming Language
22,tea,Programming Language
23,plus,Programming Language
24,p4,Programming Language
25,nu,Programming Language
26,epigram,Programming Language
27,draco,Programming Language
28,babbage,Programming Language
29,squirrel,Programming Language
30,idris,Programming Language
31,frink,Programming Language
32,icon,Programming Language
33,parser,Programming Language
34,flix,Programming Language
35,whiley,Programming Language
36,karel,Programming Language
37,dexterity,Programming Language
38,orc,Programming Language
39,curry,Programming Language
40,curl,Programming Language
41,halide,Programming Language
42,agda,Programming Language
43,charm,Programming Language
44,pict,Programming Language
45,tcl,Programming Language
46,clean,Programming Language
47,self,Programming Language
48,orwell,Programming Language
49,a+,Programming Language
50,darwin,Programming Language
51,sasl,Programming Language
52,s2,Programming Language
53,eli,Programming Language
54,pascal,Programming Language
55,ceylon,Programming Language
56,haskell,Programming Language
57,clipper,Programming Language
58,boo,Programming Language
59,fjölnir,Programming Language
60,processing,Programming Language
61,pure,Programming Language
62,perl,Programming Language
63,cuneiform,Programming Language
64,crystal,Programming Language
65,cecil,Programming Language
66,dart,Programming Language
67,eff,Programming Language
68,html5,Programming Language
69,go!,Programming Language
70,oz,Programming Language
71,alice,Programming Language
72,java,Programming Language
73,factor,Programming Language
74,lasso,Programming Language
75,citrine,Programming Language
76,scratch,Programming Language
77,fp,Programming Language
78,cameleon,Programming Language
79,dolittle,Programming Language
80,joy,Programming Language
81,etoys,Programming Language
82,mary,Programming Language
83,rpl,Programming Language
84,eiffel,Programming Language
85,c++,Programming Language
86,ml,Programming Language
87,go,Programming Language
88,ats,Programming Language
89,newspeak,Programming Language
90,alef,Programming Language
91,pico,Programming Language
92,fl,Programming Language
93,joule,Programming Language
94,genie,Programming Language
95,spark,Programming Language
96,julia,Programming Language
97,scheme,Programming Language
98,claire,Programming Language
99,flow,Programming Language
100,php,Programming Language
101,cool,Programming Language
102,euclid,Programming Language
103,lua,Programming Language
104,scala,Programming Language
105,ttm,Programming Language
106,krl,Programming Language
107,parasail,Programming Language
108,stella,Programming Language
109,escher,Programming Language
110,beta,Programming Language
111,trac,Programming Language
112,erlang,Programming Language
113,ciao,Programming Language
114,futhark,Programming Language
115,xl,Programming Language
116,f-script,Programming Language
117,turing,Programming Language
118,python,Programming Language
119,planner,Programming Language
120,qalb,Programming Language
121,ada,Programming Language
122,io,Programming Language
123,atom,Programming Language
124,gödel,Programming Language
125,c,Programming Language
126,little-b,Programming Language
127,pizza,Programming Language
128,delphi,Programming Language
129,plex,Programming Language
130,opa,Programming Language
131,lisp,Programming Language
132,cpl,Programming Language
133,racket,Programming Language
134,qore,Programming Language
135,miranda,Programming Language
136,r,Programming Language
137,kotlin,Programming Language
138,html,Programming Language
139,ruby,Programming Language
140,raptor,Programming Language
141,elixir,Programming Language
142,swift,Programming Language
143,bosque,Programming Language
144,txl,Programming Language
145,amos,Programming Language
146,emerald,Programming Language
147,ezhil,Programming Language
148,raku,Programming Language
149,x10,Programming Language
150,snap,Programming Language
151,pan,Programming Language
152,snap!,Programming Language
153,limbo,Programming Language
154,dynamo,Programming Language
155,chapel,Programming Language
156,javascript,Programming Language
157,c-sharp,Programming Language
158,cobra,Programming Language
159,red,Programming Language
160,bliss,Programming Language
161,sk8,Programming Language
162,frenetic,Programming Language
163,mad,Programming Language
164,lucid,Programming Language
165,vala,Programming Language
166,joyce,Programming Language
167,text-oriented,Programming Concept
168,multi-stage-programming,Programming Concept
169,concurrent,Programming Concept
170,scientific-workflow-system,Programming Concept
171,stack-oriented-programming,Programming Concept
172,rule-processing,Programming Concept
173,reflective-programming,Programming Concept
174,parallel-programming,Programming Concept
175,non-structured-programming,Programming Concept
176,meta,Programming Concept
177,multiple-dispatch,Programming Concept
178,event-driven-programming,Programming Concept
179,logic-programming,Programming Concept
180,compiled-language,Programming Concept
181,asynchronous-method-invocation,Programming Concept
182,block,Programming Concept
183,scripting-language,Programming Concept
184,domain-specific-language,Programming Concept
185,structured-object-oriented,Programming Concept
186,scripting,Programming Concept
187,dataflow-programming,Programming Concept
188,array-programming,Programming Concept
189,concurrent-computing,Programming Concept
190,reflective,Programming Concept
191,parallel-programming-model,Programming Concept
192,knowledge-representation-,Programming Concept
193,dataflow,Programming Concept
194,functional-programming,Programming Concept
195,exp-oriented,Programming Concept
196,type-system,Programming Concept
197,object-oriented,Programming Concept
198,class-based-programming,Programming Concept
199,stack,Programming Concept
200,high-level-assembler,Programming Concept
201,rewriting,Programming Concept
202,structured,Programming Concept
203,logic,Programming Concept
204,modular,Programming Concept
